desa,kecamatan,Latitude,Longitude,rr,skor_hujan,elevasi_m,slope_deg,skor_risiko,kelas,tempat_evakuasi_tujuan,jarak_ke_shelter_km,manajemen_tindakan
Desa Panulisan Barat,Dayeluhur,-7.302995,108.573576,6.829711019521113,0.8812530347769179,66.0,8.544356166386308,34.4,Sedang,Balai Desa Panulisan Barat,0.06,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Dayeluhur,Dayeluhur,-7.173785,108.392153,6.2,0.8,392.0,18.0,24.6,Rendah,Balai Desa Kutaagung,20.27,AMAN (Tetap Monitor Info BMKG)
Desa Bingkeng,Dayeluhur,-7.236414,108.592881,6.3272588574625965,0.8164204977371092,242.0,18.0,24.6,Rendah,Balai Desa Bingkeng,0.08,AMAN (Tetap Monitor Info BMKG)
Desa Cilongkrang,Wanareja,-7.408769,108.715668,9.336262566085212,1.2046790407851886,23.0,3.698121877875851,55.7,Tinggi,Balai Desa Cilongkrang,0.24,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Purwasari,Wanareja,-7.384291,108.870808,10.274530100616968,1.3257458194344474,49.0,6.198426096619411,57.4,Tinggi,Balai Desa Ciporos,0.29,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Tarisi,Wanareja,-7.392666,108.694566,8.961147151279468,1.156277051777996,19.0,2.598392328470684,53.2,Tinggi,Balai Desa Tarisi,0.78,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Adimulya,Wanareja,-7.334996,108.689403,8.296974586659037,1.070577366020521,33.0,4.141317057035479,49.4,Sedang,Balai Desa Adimulya,0.25,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Madura,Wanareja,-7.331412,108.644776,7.835271804058542,1.011002813426909,28.0,4.672646604084909,44.7,Sedang,Balai Desa Madura,0.12,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Wanareja,Wanareja,-7.333816,108.687107,8.26294748325163,1.0661867720324685,36.0,5.261561016440493,49.3,Sedang,Balai Desa Adimulya,0.17,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Sidamulya,Wanareja,-7.488885,108.804955,11.044976632270208,1.4251582751316396,8.0,2.051301608914464,68.9,Tinggi,Balai Desa Sudagaran,0.53,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Bantar,Wanareja,-7.352453,108.721116,8.776981861267867,1.1325137885506926,21.0,2.6488182920141234,53.2,Tinggi,Balai Desa Bantar,1.85,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Pahonjean,Majenang,-7.324304,108.740084,8.612868399254811,1.1113378579683628,24.0,4.337873793026792,51.3,Tinggi,Balai Desa Pahonjean,0.17,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Cilopadang,Majenang,-7.303708,108.790659,8.735667617306097,1.127182918362077,32.0,5.10541969712059,51.0,Tinggi,Balai Desa Cilopadang,0.06,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
